thetas version times mems
50 0.2.5 533.72 12144
50 0.2.5 519.66 12304
50 0.2.5 533.98 12480
50 0.2.5 512.42 12272
50 0.2.5 534.13 12176
50 0.2.5 514.96 12176
50 0.2.5 539.4 12752
50 0.2.5 517.86 12848
50 0.2.5 535.02 12192
50 0.2.5 517.62 12240
50 0.2.5 537.76 12528
50 0.2.5 515.79 12144
50 0.2.5 533.34 12208
50 0.2.5 513.26 12112
50 0.2.5 540.65 12384
50 0.2.5 526.33 12704
50 0.2.5 538.64 12432
50 0.2.5 519.62 12352
50 0.2.5 539.85 12464
50 0.2.5 529.33 12352
50 0.2.5 502.05 12432
50 0.2.5 546.55 12896
50 0.2.5 507.57 12224
50 0.2.5 538.17 12560
50 0.2.5 506.26 12192
50 0.2.5 528.37 12272
50 0.2.5 513.89 12288
50 0.2.5 536.8 12208
50 0.2.5 516.97 12288
50 0.2.5 537.68 12336
50 0.2.5 512.68 12800
50 0.2.5 531.26 12384
50 0.2.5 516.53 12176
50 0.2.5 538.81 12432
50 0.2.5 538.46 12560
50 0.2.5 539.86 12880
50 0.2.5 532.41 12512
50 0.2.5 528.94 12512
50 0.2.5 528.99 12224
50 0.2.5 492.71 12352
50 0.2.5 504.72 12256
50 0.2.5 537.74 12640
50 0.2.5 535.55 12496
50 0.2.5 537.85 12896
50 0.2.5 527.56 12144
50 0.2.5 511.5 12192
50 0.2.5 534.05 12192
50 0.2.5 507.65 12352
50 0.2.5 522.22 12288
50 0.2.5 510.16 12496
50 0.2.5 519.67 12400
50 0.2.5 503.25 12160
50 0.2.5 517.35 12176
50 0.2.5 517.1 12544
50 0.2.5 521.13 12128
50 0.2.5 516.29 12400
50 0.2.5 521.53 12544
50 0.2.5 516.4 12400
50 0.2.5 516.54 12576
50 0.2.5 521.41 12352
50 0.2.5 518.78 12272
50 0.2.5 511.32 12400
50 0.2.5 517.09 12288
50 0.2.5 514.35 12272
50 0.2.5 515.85 12528
50 0.2.5 513.84 12240
50 0.2.5 526.18 12368
50 0.2.5 509.25 12208
50 0.2.5 522.73 12256
50 0.2.5 511.98 12288
50 0.2.5 518.42 12224
50 0.2.5 518.31 12688
50 0.2.5 518.64 12288
50 0.2.5 517.38 12656
50 0.2.5 526.35 12720
50 0.2.5 504.14 12592
50 0.2.5 523.04 12800
50 0.2.5 516.43 12304
50 0.2.5 517.91 12240
50 0.2.5 511.69 12576
50 0.2.5 513.48 12768
50 0.2.5 527.07 11968
50 0.2.5 511.62 12304
50 0.2.4 856.42 12544
50 0.2.4 851.75 12224
50 0.2.4 843.26 12480
50 0.2.4 903.82 12432
50 0.2.4 769.9 12096
50 0.2.4 858.83 12304
50 0.2.4 860.78 12464
50 0.2.4 833.59 12240
50 0.2.4 860.95 12160
50 0.2.4 832.33 12144
50 0.2.4 933.77 12448
50 0.2.4 822.23 12144
50 0.2.4 897.76 12192
50 0.2.4 842.48 12160
50 0.2.4 794.79 11984
50 0.2.4 900.27 12288
50 0.2.4 842.03 12320
50 0.2.4 806.28 11952
50 0.2.4 907.55 12480
50 0.2.4 827.82 12288
50 0.2.4 840.23 12240
50 0.2.4 839.73 12256
50 0.2.4 907.81 12256
50 0.2.4 813.57 12640
50 0.2.4 916.56 12512
50 0.2.4 891.44 12336
50 0.2.4 873.65 12480
50 0.2.4 827.91 12064
50 0.2.4 853.24 12176
50 0.2.4 831.35 12144
50 0.2.4 849.44 12000
50 0.2.4 792.66 12064
50 0.2.4 857.02 12208
50 0.2.4 782.42 12432
50 0.2.4 929.42 12432
50 0.2.4 793.59 12112
50 0.2.4 872.02 12336
50 0.2.4 801.5 12112
50 0.2.4 935.51 12304
50 0.2.4 848.07 12256
50 0.2.4 855.5 12208
50 0.2.4 855.79 12240
50 0.2.4 904.12 12224
50 0.2.4 830.31 12080
50 0.2.4 901.01 12368
50 0.2.4 769.87 12144
50 0.2.4 902.29 12288
50 0.2.4 731.55 12288
50 0.2.4 785.63 12272
50 0.2.4 776.86 12176
50 0.2.4 837.25 12016
50 0.2.4 914.24 12448
50 0.2.4 922.58 12832
50 0.2.4 861.66 12192
50 0.2.4 833.84 12224
50 0.2.4 827.76 12512
50 0.2.4 812.09 12112
